# Format: repository_name|image_path|alt_text|title_text|width|height
go-xbuild-go|claude_assisted.svg|Claude AI Assisted|Claude AI Assisted|96|31
cubic-ubuntu-server-fix|claude_assisted.svg|Claude AI Assisted|Claude AI Assisted|96|31
githubdownloadcount|claude_assisted.svg|Claude AI Assisted|Claude AI Assisted|96|31
gomail-fork|claude_assisted.svg|Claude AI Assisted|Claude AI Assisted|96|31
oauth_tokengen|claude_assisted.svg|Claude AI Assisted|Claude AI Assisted|96|31
get-ouath-token|claude_assisted.svg|Claude AI Assisted|Claude AI Assisted|96|31
genmake-go|claude_assisted.svg|Claude AI Assisted|Claude AI Assisted|96|31
markdown-toc-go|claude_assisted.svg|Claude AI Assisted|Claude AI Assisted|96|31
github-profilegen-go|claude_assisted.svg|Claude AI Assisted|Claude AI Assisted|96|31
mouse-mover|claude_assisted.svg|Claude AI Assisted|Claude AI Assisted|96|31

